Zadanie;Czas wykonania;Termin
0;130;16;192
1;195;19;30
2;121;12;234
3;83;16;10
4;5;6;380
5;147;16;327
6;7;16;196
7;56;15;26
8;54;4;44
9;137;20;460
10;150;14;335
11;12;1;153
12;115;19;76
13;133;10;22
14;122;14;123
15;16;15;77
16;17;7;8
17;172;14;106
18;34;8;645
19;98;2;43
20;200;10;380
21;164;13;510
22;23;19;781
23;24;2;501
24;67;20;202
25;110;4;253
26;192;3;218
27;28;20;551
28;179;14;392
29;157;5;329
30;171;7;372
31;32;11;628
32;184;1;68
33;19;8;581
34;35;16;241
35;142;5;318
36;37;12;427
37;38;11;119
38;180;17;263
39;40;18;294
40;191;16;494
41;88;6;523
42;84;18;247
43;132;17;461
44;170;12;277
45;105;10;350
46;148;10;503
47;48;8;435
48;187;9;551
49;50;10;468
50;51;14;602
51;52;15;702
52;53;14;529
53;9;2;619
54;55;17;218
55;8;19;575
56;57;11;1027
57;190;7;377
58;99;14;510
59;60;10;1206
60;61;16;1120
61;62;8;496
62;196;9;738
63;64;6;1233
64;65;15;1117
65;181;16;670
66;25;15;880
67;124;15;851
68;166;12;620
69;70;20;945
70;71;5;985
71;72;14;882
72;143;4;646
73;178;11;853
74;75;13;1077
75;159;11;650
76;152;19;800
77;194;15;789
78;161;8;739
79;112;20;911
80;140;5;551
81;82;8;812
82;4;17;1059
83;43;13;1166
84;85;7;546
85;141;10;1021
86;87;11;871
87;42;11;958
88;146;7;855
89;90;6;1061
90;174;20;1090
91;92;17;1076
92;93;16;1118
93;128;19;1174
94;176;4;1174
95;131;3;1046
96;189;5;1348
97;20;7;1261
98;59;14;1394
99;100;14;706
100;101;11;1695
101;102;9;952
102;103;11;787
103;104;17;1443
104;46;16;1306
105;58;13;1452
106;107;6;1529
107;108;16;1910
108;109;17;1892
109;26;16;1202
110;111;14;965
111;80;13;1542
112;113;8;1473
113;114;14;1575
114;13;1;1336
115;160;18;1511
116;163;14;1599
117;118;17;1858
118;119;18;1630
119;175;16;1535
120;3;19;1339
121;15;10;1555
122;198;18;1705
123;68;14;1669
124;186;14;1782
125;188;1;1613
126;127;10;1527
127;94;7;1818
128;129;11;2048
129;1;10;1746
130;96;9;1763
131;44;15;1586
132;14;2;1804
133;134;17;1659
134;135;13;1226
135;136;10;1739
136;10;16;1301
137;138;18;2381
138;139;12;1601
139;81;5;2123
140;86;10;1811
141;36;11;1584
142;73;6;1777
143;144;13;1874
144;145;14;2039
145;89;17;2089
146;6;8;1820
147;47;20;1806
148;149;4;2143
149;11;11;1631
150;151;8;2233
151;77;1;2109
152;153;9;2158
153;154;14;1526
154;155;5;2009
155;156;18;2423
156;30;2;1875
157;158;13;2251
158;76;15;2310
159;116;17;2315
160;79;3;2312
161;162;18;1916
162;117;20;2249
163;22;12;1666
164;165;8;2489
165;69;6;2187
166;167;3;2135
167;168;7;1539
168;169;11;2301
169;45;2;2385
170;31;4;2104
171;18;5;2098
172;173;12;1684
173;91;10;2460
174;120;8;2353
175;95;11;2201
176;177;13;1957
177;74;12;2284
178;29;16;2223
179;39;19;2374
180;66;17;2252
181;182;17;2346
182;183;8;1895
183;33;1;2323
184;185;18;2370
185;125;4;2131
186;49;20;2310
187;126;19;2470
188;97;7;2298
189;106;16;1968
190;41;20;2399
191;27;15;2439
192;193;4;2195
193;78;20;2480
194;2;10;2134
195;63;11;2453
196;197;17;2136
197;123;3;2439
198;199;18;2125
199;21;19;2396
