Zadanie;Czas wykonania;Termin
0;98;2;43
1;195;19;30
2;17;7;8
3;83;16;10
4;184;1;68
5;35;16;241
6;7;16;196
7;56;15;26
8;54;4;44
9;38;11;119
10;130;16;192
11;12;1;153
12;122;14;123
13;133;10;22
14;115;19;76
15;16;15;77
16;121;12;234
17;172;14;106
18;84;18;247
19;147;16;327
20;200;10;380
21;157;5;329
22;55;17;218
23;170;12;277
24;67;20;202
25;110;4;253
26;192;3;218
27;180;17;263
28;191;16;494
29;150;14;335
30;179;14;392
31;62;8;496
32;5;6;380
33;105;10;350
34;171;7;372
35;142;5;318
36;37;12;427
37;137;20;460
38;190;7;377
39;40;18;294
40;28;20;551
41;88;6;523
42;19;8;581
43;132;17;461
44;24;2;501
45;34;8;645
46;148;10;503
47;48;8;435
48;187;9;551
49;50;10;468
50;51;14;602
51;52;15;702
52;53;14;529
53;9;2;619
54;164;13;510
55;8;19;575
56;159;11;650
57;140;5;551
58;99;14;510
59;100;14;706
60;85;7;546
61;32;11;628
62;196;9;738
63;103;11;787
64;161;8;739
65;181;16;670
66;25;15;880
67;143;4;646
68;23;19;781
69;70;20;945
70;71;5;985
71;72;14;882
72;124;15;851
73;166;12;620
74;146;7;855
75;178;11;853
76;111;14;965
77;194;15;789
78;57;11;1027
79;112;20;911
80;152;19;800
81;82;8;812
82;4;17;1059
83;102;9;952
84;61;16;1120
85;141;10;1021
86;87;11;871
87;42;11;958
88;75;13;1077
89;90;6;1061
90;65;15;1117
91;92;17;1076
92;93;16;1118
93;128;19;1174
94;176;4;1174
95;131;3;1046
96;174;20;1090
97;20;7;1261
98;59;14;1394
99;60;10;1206
100;3;19;1339
101;43;13;1166
102;64;6;1233
103;104;17;1443
104;46;16;1306
105;10;16;1301
106;58;13;1452
107;135;13;1226
108;154;14;1526
109;26;16;1202
110;189;5;1348
111;80;13;1542
112;113;8;1473
113;114;14;1575
114;15;10;1555
115;160;18;1511
116;163;14;1599
117;36;11;1584
118;119;18;1630
119;175;16;1535
120;101;11;1695
121;13;1;1336
122;198;18;1705
123;107;6;1529
124;186;14;1782
125;188;1;1613
126;127;10;1527
127;68;14;1669
128;168;7;1539
129;11;11;1631
130;96;9;1763
131;44;15;1586
132;22;12;1666
133;134;17;1659
134;108;16;1910
135;136;10;1739
136;106;16;1968
137;173;12;1684
138;139;12;1601
139;73;6;1777
140;86;10;1811
141;118;17;1858
142;94;7;1818
143;144;13;1874
144;145;14;2039
145;89;17;2089
146;1;10;1746
147;47;20;1806
148;177;13;1957
149;30;2;1875
150;6;8;1820
151;162;18;1916
152;153;9;2158
153;109;17;1892
154;155;5;2009
155;29;16;2223
156;14;2;1804
157;158;13;2251
158;183;8;1895
159;116;17;2315
160;199;18;2125
161;81;5;2123
162;117;20;2249
163;69;6;2187
164;197;17;2136
165;74;12;2284
166;167;3;2135
167;129;11;2048
168;169;11;2301
169;2;10;2134
170;151;8;2233
171;18;5;2098
172;138;18;2381
173;77;1;2109
174;120;8;2353
175;95;11;2201
176;149;4;2143
177;76;15;2310
178;31;4;2104
179;41;20;2399
180;66;17;2252
181;182;17;2346
182;79;3;2312
183;33;1;2323
184;185;18;2370
185;125;4;2131
186;49;20;2310
187;126;19;2470
188;97;7;2298
189;39;19;2374
190;156;18;2423
191;27;15;2439
192;193;4;2195
193;78;20;2480
194;45;2;2385
195;63;11;2453
196;165;8;2489
197;123;3;2439
198;91;10;2460
199;21;19;2396
