,Zadanie,Czas wykonania,Termin
0,1,10,1746
1,16,15,77
2,170,12,277
3,4,17,1059
4,5,6,380
5,133,10,22
6,7,16,196
7,8,19,575
8,48,8,435
9,10,16,1301
10,150,14,335
11,12,1,153
12,3,19,1339
13,23,19,781
14,25,15,880
15,9,2,619
16,17,7,8
17,28,20,551
18,19,8,581
19,37,12,427
20,38,11,119
21,32,11,628
22,40,18,294
23,24,2,501
24,35,16,241
25,26,16,1202
26,34,8,645
27,57,11,1027
28,43,13,1166
29,21,19,2396
30,15,10,1555
31,20,7,1261
32,2,10,2134
33,22,12,1666
34,11,11,1631
35,36,11,1584
36,27,15,2439
37,14,2,1804
38,33,1,2323
39,6,8,1820
40,41,20,2399
41,42,11,958
42,18,5,2098
43,44,15,1586
44,45,2,2385
45,46,16,1306
46,47,20,1806
47,29,16,2223
48,13,1,1336
49,50,10,468
50,51,14,602
51,52,15,702
52,53,14,529
53,54,4,44
54,55,17,218
55,56,15,26
56,83,16,10
57,67,20,202
58,31,4,2104
59,60,10,1206
60,61,16,1120
61,62,8,496
62,84,18,247
63,98,2,43
64,65,15,1117
65,85,7,546
66,115,19,76
67,82,8,812
68,59,14,1394
69,70,20,945
70,71,5,985
71,72,14,882
72,99,14,510
73,64,6,1233
74,58,13,1452
75,75,13,1077
76,39,19,2374
77,78,20,2480
78,49,20,2310
79,80,13,1542
80,74,12,2284
81,69,6,2187
82,66,17,2252
83,77,1,2109
84,30,2,1875
85,86,10,1811
86,87,11,871
87,88,6,523
88,79,3,2312
89,90,6,1061
90,63,11,2453
91,92,17,1076
92,93,16,1118
93,94,7,1818
94,110,4,253
95,105,10,350
96,122,14,123
97,157,5,329
98,142,5,318
99,100,14,706
100,73,6,1777
101,102,9,952
102,103,11,787
103,143,4,646
104,128,19,1174
105,130,16,192
106,140,5,551
107,124,15,851
108,132,17,461
109,121,12,234
110,111,14,965
111,112,20,911
112,135,13,1226
113,104,17,1443
114,118,17,1858
115,119,18,1630
116,114,14,1575
117,68,14,1669
118,107,6,1529
119,81,5,2123
120,113,8,1473
121,101,11,1695
122,109,17,1892
123,97,7,2298
124,159,11,650
125,141,10,1021
126,127,10,1527
127,137,20,460
128,129,11,2048
129,120,8,2353
130,131,3,1046
131,106,16,1968
132,117,20,2249
133,184,1,68
134,125,4,2131
135,136,10,1739
136,147,16,327
137,138,18,2381
138,139,12,1601
139,116,17,2315
140,192,3,218
141,126,19,2470
142,123,3,2439
143,134,17,1659
144,145,14,2039
145,146,7,855
146,190,7,377
147,148,10,503
148,149,4,2143
149,179,14,392
150,144,13,1874
151,152,19,800
152,153,9,2158
153,154,14,1526
154,171,7,372
155,176,4,1174
156,166,12,620
157,164,13,510
158,187,9,551
159,151,8,2233
160,161,8,739
161,196,9,738
162,195,19,30
163,172,14,106
164,188,1,1613
165,200,10,380
166,167,3,2135
167,168,7,1539
168,96,9,1763
169,189,5,1348
170,180,17,263
171,181,16,670
172,178,11,853
173,191,16,494
174,194,15,789
175,174,20,1090
176,175,16,1535
177,163,14,1599
178,198,18,1705
179,160,18,1511
180,173,12,1684
181,183,8,1895
182,177,13,1957
183,186,14,1782
184,155,5,2009
185,89,17,2089
186,108,16,1910
187,193,4,2195
188,162,18,1916
189,199,18,2125
190,197,17,2136
191,95,11,2201
192,158,13,2251
193,76,15,2310
194,185,18,2370
195,182,17,2346
196,156,18,2423
197,169,11,2301
198,91,10,2460
199,165,8,2489
