,Zadanie,Czas wykonania,Termin
0,1,10,1746
1,16,15,77
2,99,14,510
3,115,19,76
4,172,14,106
5,56,15,26
6,7,16,196
7,17,7,8
8,121,12,234
9,40,18,294
10,170,12,277
11,12,1,153
12,35,16,241
13,98,2,43
14,83,16,10
15,122,14,123
16,54,4,44
17,130,16,192
18,133,10,22
19,38,11,119
20,67,20,202
21,110,4,253
22,55,17,218
23,84,18,247
24,147,16,327
25,142,5,318
26,105,10,350
27,150,14,335
28,50,10,468
29,5,6,380
30,48,8,435
31,190,7,377
32,37,12,427
33,8,19,575
34,28,20,551
35,24,2,501
36,62,8,496
37,53,14,529
38,140,5,551
39,132,17,461
40,85,7,546
41,51,14,602
42,19,8,581
43,32,11,628
44,88,6,523
45,159,11,650
46,52,15,702
47,100,14,706
48,23,19,781
49,70,20,945
50,34,8,645
51,9,2,619
52,72,14,882
53,128,19,1174
54,42,11,958
55,25,15,880
56,4,17,1059
57,3,19,1339
58,46,16,1306
59,20,7,1261
60,103,11,787
61,10,16,1301
62,43,13,1166
63,87,11,871
64,26,16,1202
65,57,11,1027
66,75,13,1077
67,71,5,985
68,61,16,1120
69,64,6,1233
70,82,8,812
71,13,1,1336
72,92,17,1076
73,60,10,1206
74,65,15,1117
75,93,16,1118
76,90,6,1061
77,59,14,1394
78,44,15,1586
79,80,13,1542
80,58,13,1452
81,47,20,1806
82,36,11,1584
83,104,17,1443
84,15,10,1555
85,68,14,1669
86,11,11,1631
87,184,1,68
88,49,20,2310
89,41,20,2399
90,78,20,2480
91,74,12,2284
92,2,10,2134
93,14,2,1804
94,22,12,1666
95,18,5,2098
96,33,1,2323
97,30,2,1875
98,29,16,2223
99,31,4,2104
100,101,11,1695
101,102,9,952
102,77,1,2109
103,157,5,329
104,45,2,2385
105,96,9,1763
106,66,17,2252
107,124,15,851
108,73,6,1777
109,39,19,2374
110,111,14,965
111,112,20,911
112,171,7,372
113,114,14,1575
114,95,11,2201
115,79,3,2312
116,148,10,503
117,81,5,2123
118,119,18,1630
119,113,8,1473
120,166,12,620
121,106,16,1968
122,63,11,2453
123,161,8,739
124,125,4,2131
125,89,17,2089
126,127,10,1527
127,123,3,2439
128,97,7,2298
129,146,7,855
130,131,3,1046
131,192,3,218
132,143,4,646
133,196,9,738
134,164,13,510
135,200,10,380
136,120,8,2353
137,195,19,30
138,191,16,494
139,135,13,1226
140,141,10,1021
141,137,20,460
142,152,19,800
143,180,17,263
144,176,4,1174
145,154,14,1526
146,107,6,1529
147,194,15,789
148,189,5,1348
149,188,1,1613
150,187,9,551
151,179,14,392
152,178,11,853
153,168,7,1539
154,181,16,670
155,139,12,1601
156,174,20,1090
157,160,18,1511
158,175,16,1535
159,163,14,1599
160,134,17,1659
161,94,7,1818
162,86,10,1811
163,136,10,1739
164,109,17,1892
165,186,14,1782
166,183,8,1895
167,144,13,1874
168,198,18,1705
169,173,12,1684
170,6,8,1820
171,108,16,1910
172,118,17,1858
173,177,13,1957
174,162,18,1916
175,155,5,2009
176,145,14,2039
177,129,11,2048
178,153,9,2158
179,199,18,2125
180,117,20,2249
181,197,17,2136
182,167,3,2135
183,149,4,2143
184,158,13,2251
185,151,8,2233
186,116,17,2315
187,193,4,2195
188,138,18,2381
189,169,11,2301
190,69,6,2187
191,76,15,2310
192,185,18,2370
193,182,17,2346
194,21,19,2396
195,156,18,2423
196,126,19,2470
197,27,15,2439
198,91,10,2460
199,165,8,2489
